Text,Cleaned_Text,Sentiment_Main,Platform,Country,User,Cleaned_Hashtags,Likes,Retweets,Engagement_Score,Timestamp,Year,Month,Day,Hour
Numbness sets in as the weight of loneliness grows heavier.       ,numbness sets in as the weight of loneliness grows heavier,Neutral,Twitter, Canada          , SolitudeSeeker ,"['loneliness', 'heavyheart']",35.0,18.0,71.0,2021-02-12 16:45:00,2021,2,12,16
"Tears fall like raindrops, mourning the end of a cherished friendship. ",tears fall like raindrops mourning the end of a cherished friendship,Neutral,Facebook, UK              , FriendshipsEnd  ,"['grief', 'lostfriendship']",45.0,22.0,89.0,2020-11-28 14:20:00,2020,11,28,14
"Despair clouds the mind, feeling adrift in an endless sea of darkness. ",despair clouds the mind feeling adrift in an endless sea of darkness,Neutral,Instagram, Australia        , LostInDarkness  ,"['despair', 'endlessdarkness']",55.0,28.0,111.0,2016-05-15 22:30:00,2016,5,15,22
"Shattered by betrayal, trust crumbles like fragile glass.          ",shattered by betrayal trust crumbles like fragile glass,Negative,Twitter, Germany         , BrokenTrust     ,"['betrayal', 'shatteredtrust']",45.0,22.0,89.0,2018-09-10 13:15:00,2018,9,10,13
"Aching heart, the symphony of pain plays in the silence of solitude. ",aching heart the symphony of pain plays in the silence of solitude,Negative,Facebook, Brazil          , SilentSufferer  ,"['suffering', 'heartachesymphony']",50.0,25.0,100.0,2022-03-20 19:30:00,2022,3,20,19
"Emotional storm, a whirlwind of sadness engulfs every thought.    ",emotional storm a whirlwind of sadness engulfs every thought,Negative,Instagram, India          , StormyFeelings  ,"['emotionalstorm', 'sadnesswhirlwind']",60.0,30.0,120.0,2017-07-18 17:45:00,2017,7,18,17
"Haunted by regrets, the ghost of the past lingers relentlessly.   ",haunted by regrets the ghost of the past lingers relentlessly,Neutral,Twitter, France         , LingeringGhost  ,"['regret', 'hauntedpast']",35.0,18.0,71.0,2018-12-15 10:00:00,2018,12,15,10
"Torn apart by grief, the echoes of loss reverberate through the soul. ",torn apart by grief the echoes of loss reverberate through the soul,Neutral,Facebook, Italy         , EchoesOfLoss    ,"['grief', 'tornapart']",55.0,28.0,111.0,2015-06-28 21:15:00,2015,6,28,21
"Isolation deepens, an emotional winter where warmth is but a distant memory. ",isolation deepens an emotional winter where warmth is but a distant memory,Neutral,Instagram, Japan       , WinterOfEmotions ,"['isolation', 'emotionalwinter']",70.0,35.0,140.0,2020-04-02 14:20:00,2020,4,2,14
"Soul-crushing disappointment, hopes shattered like fragile glass. ",soulcrushing disappointment hopes shattered like fragile glass,Neutral,Twitter, Spain        , ShatteredHopes  ,"['disappointment', 'crushedhopes']",40.0,20.0,80.0,2019-10-08 18:30:00,2019,10,8,18
"Painful echoes of a love once cherished, now lost in the abyss of time. ",painful echoes of a love once cherished now lost in the abyss of time,Negative,Facebook, Netherlands  , AbyssOfTime     ,"['lostlove', 'painfulechoes']",45.0,22.0,89.0,2016-11-22 09:45:00,2016,11,22,9
"Heartache deepens, a solitary journey through the abyss of despair. ",heartache deepens a solitary journey through the abyss of despair,Neutral,Instagram, South Africa , SolitaryDescent ,"['despair', 'abyssofheartache']",80.0,40.0,160.0,2022-08-18 22:00:00,2022,8,18,22
"Melancholy lingers, a bittersweet serenade in the quietude of solitude. ",melancholy lingers a bittersweet serenade in the quietude of solitude,Neutral,Twitter, UK         , SerenadeOfSolitude ,"['melancholy', 'quietserenade']",35.0,18.0,71.0,2017-03-12 23:30:00,2017,3,12,23
"Bitterness like a poison, seeping into every crevice of the wounded heart. ",bitterness like a poison seeping into every crevice of the wounded heart,Neutral,Facebook, Australia   , PoisonedHeart   ,"['bitterness', 'woundedheart']",50.0,25.0,100.0,2015-12-15 16:15:00,2015,12,15,16
"Emotional exhaustion, the weight of the world crushing weary shoulders. ",emotional exhaustion the weight of the world crushing weary shoulders,Negative,Instagram, Canada     , WearySoulCrushed ,"['exhaustion', 'crushedspirit']",70.0,35.0,140.0,2021-09-05 13:30:00,2021,9,5,13
"Sorrowful echoes, a symphony of pain played by the strings of loss. ",sorrowful echoes a symphony of pain played by the strings of loss,Neutral,Twitter, Germany     , StringsOfSorrow ,"['sorrow', 'symphonyofloss']",35.0,18.0,71.0,2018-05-22 20:45:00,2018,5,22,20
"Darkness descends, engulfing the soul in the shadows of despair.  ",darkness descends engulfing the soul in the shadows of despair,Neutral,Facebook, USA         , SoulInShadow    ,"['darkness', 'soulengulfed']",55.0,28.0,111.0,2016-07-10 18:20:00,2016,7,10,18
"Desperation whispers, the silent plea for a glimmer of hope in the abyss. ",desperation whispers the silent plea for a glimmer of hope in the abyss,Neutral,Instagram, France    , WhisperedDespair ,"['desperation', 'glimmerofhope']",45.0,22.0,89.0,2019-04-30 14:00:00,2019,4,30,14
"Heart in ruins, the remnants of shattered dreams scattered in the wind. ",heart in ruins the remnants of shattered dreams scattered in the wind,Negative,Twitter, Brazil     , DreamsInWind    ,"['ruins', 'shattereddreams']",40.0,20.0,80.0,2022-01-08 11:30:00,2022,1,8,11
"Shattered by the echoes of a shattered dream, fragments of hope scattered. ",shattered by the echoes of a shattered dream fragments of hope scattered,Neutral,Twitter, Australia , DreamEchoes ,"['desolation', 'scatteredhope']",40.0,20.0,80.0,2017-09-10 19:15:00,2017,9,10,19
"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",avoiding the thorns of regret walking barefoot on the path of remorse,Neutral,Instagram, Canada , RemorseWalker ,"['regret', 'pathofremorse']",50.0,25.0,100.0,2022-04-18 11:30:00,2022,4,18,11
"In the labyrinth of grief, the walls echo with the footsteps of lost joy. ",in the labyrinth of grief the walls echo with the footsteps of lost joy,Neutral,Facebook, USA , JoyLabyrinth ,"['grief', 'lostjoyfootsteps']",35.0,18.0,71.0,2018-12-05 21:45:00,2018,12,5,21
"A soul adrift in the sea of solitude, waves of loneliness crashing relentlessly. ",a soul adrift in the sea of solitude waves of loneliness crashing relentlessly,Neutral,Twitter, UK , SolitudeSeas ,"['loneliness', 'crashingwaves']",45.0,22.0,89.0,2016-06-28 14:20:00,2016,6,28,14
"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ",the bitterness of betrayal a taste that lingers staining the palate of trust,Neutral,Instagram, Germany , PalateStainer ,"['bitterness', 'stainedtrust']",30.0,15.0,60.0,2019-10-22 17:00:00,2019,10,22,17
"In the ruins of hope, echoes of shattered dreams whisper tales of loss. ",in the ruins of hope echoes of shattered dreams whisper tales of loss,Neutral,Facebook, Brazil , HopeRuins ,"['desolation', 'whisperedloss']",55.0,28.0,111.0,2021-03-15 22:45:00,2021,3,15,22
"Sinking like a stone in the ocean of heartbreak, each ripple a sigh of despair. ",sinking like a stone in the ocean of heartbreak each ripple a sigh of despair,Neutral,Twitter, France , OceanSinker ,"['heartbreak', 'rippleofdespair']",45.0,22.0,89.0,2017-08-10 19:30:00,2017,8,10,19
"Tears, the ink staining the pages of a journal, a testament to silent grief. ",tears the ink staining the pages of a journal a testament to silent grief,Neutral,Instagram, India , InkJournalist ,"['grief', 'silenttears']",60.0,30.0,120.0,2023-01-28 14:30:00,2023,1,28,14
"In the wasteland of lost trust, the echoes of broken promises reverberate. ",in the wasteland of lost trust the echoes of broken promises reverberate,Negative,Facebook, Italy , TrustWasteland ,"['betrayal', 'reverberatingpromises']",50.0,25.0,100.0,2016-12-12 10:00:00,2016,12,12,10
"Avoiding the shards of shattered dreams, walking the tightrope of resilience. ",avoiding the shards of shattered dreams walking the tightrope of resilience,Positive,Twitter, Japan , DreamTightrope ,"['resilience', 'tightropewalk']",70.0,35.0,140.0,2020-07-18 15:15:00,2020,7,18,15
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",suffocating in the silence of solitude where echoes of laughter once thrived,Neutral,Instagram, South Africa , EchoedLaughter ,"['isolation', 'silentsolitude']",60.0,30.0,120.0,2022-05-20 20:30:00,2022,5,20,20
"Haunted by the specter of lost possibilities, a ghost that refuses to fade away. ",haunted by the specter of lost possibilities a ghost that refuses to fade away,Neutral,Twitter, Spain , PossibilityGhost ,"['regret', 'fadingpossibilities']",35.0,18.0,71.0,2019-11-08 14:45:00,2019,11,8,14
"In the labyrinth of despair, the echoes of a broken heart reverberate endlessly. ",in the labyrinth of despair the echoes of a broken heart reverberate endlessly,Neutral,Facebook, Australia , EndlessLabyrinth ,"['despair', 'endlessreverberation']",55.0,28.0,111.0,2017-03-28 22:00:00,2017,3,28,22
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",sinking like autumn leaves in the river of sorrow carried away by the current,Neutral,Instagram, Canada , RiverOfSorrow ,"['sorrow', 'autumnleaves']",45.0,22.0,89.0,2020-09-15 18:15:00,2020,9,15,18
"In the garden of broken dreams, petals fall, a silent testimony to shattered hopes. ",in the garden of broken dreams petals fall a silent testimony to shattered hopes,Neutral,Twitter, UK , DreamGardener ,"['desolation', 'shatteredhopes']",40.0,20.0,80.0,2018-06-10 13:30:00,2018,6,10,13
"Tears, the currency of grief, spent in the marketplace of lost love and longing. ",tears the currency of grief spent in the marketplace of lost love and longing,Neutral,Facebook, USA , CurrencyOfTears ,"['grief', 'lostlovelonging']",50.0,25.0,100.0,2016-12-22 21:45:00,2016,12,22,21
"Wandering in the maze of betrayal, the walls closing in with every wrong turn. ",wandering in the maze of betrayal the walls closing in with every wrong turn,Negative,Instagram, Germany , MazeWanderer ,"['betrayal', 'closingwalls']",30.0,15.0,60.0,2021-01-05 16:20:00,2021,1,5,16
"A soul weathered by the storm of heartbreak, seeking refuge in the calm after. ",a soul weathered by the storm of heartbreak seeking refuge in the calm after,Neutral,Twitter, Brazil , StormSeeker ,"['heartbreak', 'calmafterstorm']",45.0,22.0,89.0,2019-04-18 11:00:00,2019,4,18,11
"In the tapestry of despair, threads of hope unravel, leaving a portrait of sorrow. ",in the tapestry of despair threads of hope unravel leaving a portrait of sorrow,Neutral,Facebook, India , TapestrySorrow ,"['despair', 'unraveledhope']",35.0,18.0,71.0,2017-08-28 19:30:00,2017,8,28,19
"Like a withered rose in the garden of love, petals fall, a silent surrender to time. ",like a withered rose in the garden of love petals fall a silent surrender to time,Neutral,Instagram, France , WitheredRose ,"['loss', 'silentsurrender']",55.0,28.0,111.0,2023-02-10 14:30:00,2023,2,10,14
"In the void of heartache, echoes of a love song play, each note a pang of longing. ",in the void of heartache echoes of a love song play each note a pang of longing,Negative,Instagram, Japan , LoveSongEcho ,"['heartache', 'lovesonglonging']",60.0,30.0,120.0,2022-07-10 22:15:00,2022,7,10,22
"Nostalgia, a bittersweet dance in the moonlit ballroom of cherished memories. ",nostalgia a bittersweet dance in the moonlit ballroom of cherished memories,Positive,Twitter, Italy , MoonlitMemories ,"['nostalgia', 'cherishedmemories']",35.0,18.0,71.0,2019-05-15 21:30:00,2019,5,15,21
"In the symphony of grief, each tear is a note, composing a melancholic melody. ",in the symphony of grief each tear is a note composing a melancholic melody,Neutral,Facebook, Germany , SymphonyOfTears ,"['grief', 'melancholicmelody']",45.0,22.0,89.0,2018-11-28 14:00:00,2018,11,28,14
"Betrayal, a venomous serpent slithering through the garden of trust, poisoning roots. ",betrayal a venomous serpent slithering through the garden of trust poisoning roots,Negative,Instagram, Canada , VenomousGarden ,"['betrayal', 'poisonedtrust']",50.0,25.0,100.0,2021-03-02 17:45:00,2021,3,2,17
"Sinking in the quicksand of despair, the harder you fight, the deeper you descend. ",sinking in the quicksand of despair the harder you fight the deeper you descend,Neutral,Twitter, USA , QuicksandFighter ,"['despair', 'deepdescent']",40.0,20.0,80.0,2016-10-18 19:30:00,2016,10,18,19
"Wandering through the cemetery of lost dreams, tombstones marking untold sorrows. ",wandering through the cemetery of lost dreams tombstones marking untold sorrows,Neutral,Facebook, France , DreamCemetery ,"['desolation', 'untoldsorrows']",55.0,28.0,111.0,2020-08-15 12:30:00,2020,8,15,12
"Swept away by the river of regret, the currents of the past refusing to release. ",swept away by the river of regret the currents of the past refusing to release,Neutral,Instagram, UK , RegretRiver ,"['regret', 'pastcurrents']",35.0,18.0,71.0,2017-04-28 16:20:00,2017,4,28,16
"Whispers of lost love linger in the attic of the heart, forgotten but not erased. ",whispers of lost love linger in the attic of the heart forgotten but not erased,Neutral,Twitter, Australia , HeartAttic ,"['loss', 'forgottenlove']",45.0,22.0,89.0,2019-09-10 21:00:00,2019,9,10,21
"In the gallery of broken promises, each shattered vow framed, a painful exhibition. ",in the gallery of broken promises each shattered vow framed a painful exhibition,Negative,Facebook, Brazil , PromiseGallery ,"['betrayal', 'shatteredvows']",30.0,15.0,60.0,2022-01-28 13:45:00,2022,1,28,13
"The echoes of solitude, a silent conversation between a soul and its shadows. ",the echoes of solitude a silent conversation between a soul and its shadows,Negative,Instagram, Spain , EchoedConversation ,"['solitude', 'shadowconversation']",60.0,30.0,120.0,2016-06-15 22:30:00,2016,6,15,22
"Dancing on sunshine, each step a celebration of the joy found in simple moments. ",dancing on sunshine each step a celebration of the joy found in simple moments,Neutral,Instagram, USA , SunshineDancer ,"['joy', 'simplemoments']",80.0,40.0,160.0,2021-08-20 15:45:00,2021,8,20,15
"Laughter echoes in the air, a chorus of happiness that lifts the spirit higher. ",laughter echoes in the air a chorus of happiness that lifts the spirit higher,Neutral,Twitter, Canada , EchoedLaughter ,"['happiness', 'spiritlifter']",70.0,35.0,140.0,2018-04-12 18:30:00,2018,4,12,18
"In the garden of contentment, each bloom whispers tales of inner peace and joy. ",in the garden of contentment each bloom whispers tales of inner peace and joy,Neutral,Facebook, UK , GardenOfJoy ,"['contentment', 'innerpeace']",50.0,25.0,100.0,2022-02-15 12:20:00,2022,2,15,12
"Chasing dreams under the vibrant sky, a journey fueled by hope and enthusiasm. ",chasing dreams under the vibrant sky a journey fueled by hope and enthusiasm,Neutral,Instagram, Australia , DreamChaser ,"['enthusiasm', 'hopefuljourney']",60.0,30.0,120.0,2019-10-28 14:15:00,2019,10,28,14
"Serenading the stars with a heart full of gratitude, a melody of thankfulness. ",serenading the stars with a heart full of gratitude a melody of thankfulness,Neutral,Twitter, India , StarSerenader ,"['gratitude', 'thankfulmelody']",45.0,22.0,89.0,2017-12-22 21:00:00,2017,12,22,21
"Basking in the glow of accomplishment, each milestone a stepping stone to happiness. ",basking in the glow of accomplishment each milestone a stepping stone to happiness,Positive,Facebook, Germany , GlowAchiever ,"['accomplishment', 'happinessmilestone']",55.0,28.0,111.0,2020-06-10 17:30:00,2020,6,10,17
"In the dance of positivity, every step is a rhythm, uplifting the soul in harmony. ",in the dance of positivity every step is a rhythm uplifting the soul in harmony,Positive,Instagram, France , DanceHarmony ,"['positivity', 'soulupliftment']",35.0,18.0,71.0,2016-09-18 19:45:00,2016,9,18,19
"Overflowing with joy, a cup of laughter shared with friends, a moment cherished. ",overflowing with joy a cup of laughter shared with friends a moment cherished,Neutral,Twitter, Japan , LaughterCup ,"['joy', 'cherishedmoment']",40.0,20.0,80.0,2023-03-10 14:30:00,2023,3,10,14
"Draped in the warmth of kindness, a quilt of compassion stitched with love. ",draped in the warmth of kindness a quilt of compassion stitched with love,Positive,Facebook, Brazil , QuiltedCompassion ,"['kindness', 'lovestitches']",50.0,25.0,100.0,2019-05-05 12:15:00,2019,5,5,12
"In the garden of friendships, each bloom a testament to the beauty of camaraderie. ",in the garden of friendships each bloom a testament to the beauty of camaraderie,Positive,Instagram, South Africa , FriendshipGarden ,"['friendship', 'camaraderieblooms']",60.0,30.0,120.0,2018-08-28 16:00:00,2018,8,28,16
"In the embrace of love, each heartbeat is a melody, dancing to the rhythm of affection. ",in the embrace of love each heartbeat is a melody dancing to the rhythm of affection,Neutral,Twitter, USA , MelodyOfLove ,"['love', 'rhythmofaffection']",70.0,35.0,140.0,2022-11-15 20:45:00,2022,11,15,20
"Surrounded by the colors of joy, a canvas painted with laughter and endless smiles. ",surrounded by the colors of joy a canvas painted with laughter and endless smiles,Neutral,Instagram, Canada , ColorfulLaughter ,"['joy', 'endlesssmiles']",80.0,40.0,160.0,2019-07-02 17:00:00,2019,7,2,17
"In the symphony of excitement, each note is a burst of energy, igniting the soul with fervor. ",in the symphony of excitement each note is a burst of energy igniting the soul with fervor,Neutral,Facebook, UK , SymphonyFervor ,"['excitement', 'ignitedsoul']",60.0,30.0,120.0,2021-04-18 14:20:00,2021,4,18,14
"A surprise gift, wrapped in anticipation, unfolds a moment of delight and wonder. ",a surprise gift wrapped in anticipation unfolds a moment of delight and wonder,Neutral,Twitter, Australia , WrappedDelight ,"['surprise', 'wonderfulmoment']",50.0,25.0,100.0,2023-02-05 19:30:00,2023,2,5,19
"Lost in the maze of curiosity, each twist and turn unveils the treasures of discovery. ",lost in the maze of curiosity each twist and turn unveils the treasures of discovery,Neutral,Instagram, India , MazeDiscovery ,"['curiosity', 'treasuresofdiscovery']",45.0,22.0,89.0,2018-09-22 12:45:00,2018,9,22,12
"Floating on clouds of gratitude, each raindrop a blessing, a shower of thankfulness. ",floating on clouds of gratitude each raindrop a blessing a shower of thankfulness,Neutral,Facebook, Germany , CloudsOfBlessings ,"['gratitude', 'showerofthankfulness']",55.0,28.0,111.0,2016-12-10 21:15:00,2016,12,10,21
"Like a comet of inspiration, streaking through the sky of creativity, leaving trails of brilliance. ",like a comet of inspiration streaking through the sky of creativity leaving trails of brilliance,Positive,Twitter, France , CometCreativity ,"['inspiration', 'brillianttrails']",35.0,18.0,71.0,2020-05-28 16:00:00,2020,5,28,16
"In the celebration of success, fireworks of accomplishment light up the night sky of triumph. ",in the celebration of success fireworks of accomplishment light up the night sky of triumph,Positive,Instagram, Japan , FireworksTriumph ,"['success', 'nightskytriumph']",45.0,22.0,89.0,2017-11-15 22:30:00,2017,11,15,22
"A symphony of laughter, each note a key to unlocking the door of boundless happiness. ",a symphony of laughter each note a key to unlocking the door of boundless happiness,Neutral,Facebook, Brazil , LaughterSymphony ,"['happiness', 'boundlesslaughter']",60.0,30.0,120.0,2021-08-02 19:00:00,2021,8,2,19
"In the carnival of emotions, the rollercoaster of thrill sends the heart on a wild ride. ",in the carnival of emotions the rollercoaster of thrill sends the heart on a wild ride,Neutral,Instagram, South Africa , EmotionCarnival ,"['thrill', 'wildheartride']",70.0,35.0,140.0,2019-03-28 15:30:00,2019,3,28,15
"Standing before the grandeur of the Eiffel Tower, a moment to reflect on the beauty of Parisian dreams. ",standing before the grandeur of the eiffel tower a moment to reflect on the beauty of parisian dreams,Neutral,Twitter, France , ParisDreamer ,"['reflection', 'parisiandreams']",55.0,28.0,111.0,2018-05-12 17:30:00,2018,5,12,17
"Lost in the enchantment of Disneyland, each ride a journey into the realm of childhood fantasies. ",lost in the enchantment of disneyland each ride a journey into the realm of childhood fantasies,Positive,Instagram, USA , DisneylandExplorer ,"['enchantment', 'childhoodfantasies']",60.0,30.0,120.0,2022-09-28 15:45:00,2022,9,28,15
"Exploring the wonders of Ferrari World, the roar of engines creating a symphony of speed. ",exploring the wonders of ferrari world the roar of engines creating a symphony of speed,Neutral,Facebook, Italy , FerrariSpeedster ,"['excitement', 'symphonyofspeed']",45.0,22.0,89.0,2019-11-10 14:00:00,2019,11,10,14
"Amidst the tulip fields of Keukenhof, a tapestry of colors that paints the soul with springtime joy. ",amidst the tulip fields of keukenhof a tapestry of colors that paints the soul with springtime joy,Neutral,Instagram, Netherlands , KeukenhofAdventurer ,"['joy', 'springtimecolors']",70.0,35.0,140.0,2021-04-02 18:20:00,2021,4,2,18
"Wandering through the historical streets of Kyoto, each step a journey into the heart of Japan's traditions. ",wandering through the historical streets of kyoto each step a journey into the heart of japans traditions,Positive,Twitter, Japan , KyotoAdventurer ,"['exploration', 'japanesetraditions']",35.0,18.0,71.0,2017-08-22 21:30:00,2017,8,22,21
"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. ",in the embrace of the grand canyon natures masterpiece a moment to marvel at earths grandeur,Positive,Instagram, USA , CanyonMarveler ,"['awe', 'earthsgrandeur']",50.0,25.0,100.0,2020-06-15 16:45:00,2020,6,15,16
"Journeying through the serenity of Santorini, where each sunset paints the sky with hues of tranquility. ",journeying through the serenity of santorini where each sunset paints the sky with hues of tranquility,Neutral,Facebook, Greece , SantoriniTraveler ,"['serenity', 'sunsethues']",45.0,22.0,89.0,2016-09-10 19:15:00,2016,9,10,19
"Amazed by the architectural marvels of Petra, each stone telling tales of an ancient civilization. ",amazed by the architectural marvels of petra each stone telling tales of an ancient civilization,Positive,Twitter, Jordan , PetraExplorer ,"['amazement', 'ancienttales']",60.0,30.0,120.0,2023-01-28 13:00:00,2023,1,28,13
"Embarking on a gondola ride in Venice, each canal reflecting the romance of this timeless city. ",embarking on a gondola ride in venice each canal reflecting the romance of this timeless city,Positive,Instagram, Italy , VeniceRomantic ,"['romance', 'timelesscity']",40.0,20.0,80.0,2019-04-18 16:30:00,2019,4,18,16
"At the summit of Machu Picchu, a breathtaking panorama that whispers the secrets of ancient civilizations. ",at the summit of machu picchu a breathtaking panorama that whispers the secrets of ancient civilizations,Positive,Facebook, Peru , MachuPicchuAdventurer ,"['awe', 'ancientcivilizations']",55.0,28.0,111.0,2017-11-05 22:00:00,2017,11,5,22
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",in the heart of new york city times square dazzles with lights a vibrant spectacle of urban energy,Neutral,Instagram, USA , TimesSquareExplorer ,"['excitement', 'urbanenergy']",70.0,35.0,140.0,2022-07-20 21:45:00,2022,7,20,21
"Captivated by the historical charm of the Colosseum, each stone echoing tales of gladiator valor. ",captivated by the historical charm of the colosseum each stone echoing tales of gladiator valor,Positive,Twitter, Italy , ColosseumAdventurer ,"['captivation', 'gladiatortales']",50.0,25.0,100.0,2018-03-15 17:30:00,2018,3,15,17
"Sailing the azure waters of the Maldives, each wave a whisper of serenity in paradise. ",sailing the azure waters of the maldives each wave a whisper of serenity in paradise,Neutral,Facebook, Maldives , MaldivesSailor ,"['serenity', 'paradisewhispers']",45.0,22.0,89.0,2019-10-28 14:15:00,2019,10,28,14
"In the midst of the Amazon rainforest, a symphony of wildlife creates an orchestra of nature's wonders. ",in the midst of the amazon rainforest a symphony of wildlife creates an orchestra of natures wonders,Neutral,Instagram, Brazil , AmazonExplorer ,"['wonder', 'natureorchestra']",60.0,30.0,120.0,2021-06-10 16:00:00,2021,6,10,16
"Walking the Great Wall of China, each step a testament to ancient engineering marvels. ",walking the great wall of china each step a testament to ancient engineering marvels,Positive,Twitter, China , GreatWallWalker ,"['awe', 'engineeringmarvels']",35.0,18.0,71.0,2017-08-18 19:30:00,2017,8,18,19
"At the summit of Mount Fuji, a breathtaking sunrise that paints the sky with hues of accomplishment. ",at the summit of mount fuji a breathtaking sunrise that paints the sky with hues of accomplishment,Positive,Facebook, Japan , FujiSummitAchiever ,"['accomplishment', 'sunrisehues']",55.0,28.0,111.0,2020-04-15 05:30:00,2020,4,15,5
"Exploring the ancient ruins of Angkor Wat, each stone whispering stories of Khmer civilization. ",exploring the ancient ruins of angkor wat each stone whispering stories of khmer civilization,Positive,Instagram, Cambodia , AngkorWatAdventurer ,"['exploration', 'khmerstories']",40.0,20.0,80.0,2016-11-22 13:00:00,2016,11,22,13
"Skiing down the slopes of the Swiss Alps, each turn a dance with the majesty of snow-capped peaks. ",skiing down the slopes of the swiss alps each turn a dance with the majesty of snowcapped peaks,Positive,Twitter, Switzerland , AlpsSkiAdventurer ,"['adventure', 'snowpeakdance']",45.0,22.0,89.0,2019-01-10 14:45:00,2019,1,10,14
"In the tranquility of Kyoto's bamboo forest, whispers of ancient Zen wisdom echo through the groves. ",in the tranquility of kyotos bamboo forest whispers of ancient zen wisdom echo through the groves,Positive,Facebook, Japan , KyotoBambooSeeker ,"['tranquility', 'zenwisdom']",50.0,25.0,100.0,2023-02-28 16:20:00,2023,2,28,16
"Cruising the fjords of Norway, each icy landscape a breathtaking masterpiece of nature's grandeur. ",cruising the fjords of norway each icy landscape a breathtaking masterpiece of natures grandeur,Positive,Instagram, Norway , NorwayFjordExplorer ,"['grandeur', 'icymasterpiece']",45.0,22.0,89.0,2018-05-28 18:30:00,2018,5,28,18
"At the front row of Adele's concert, each note of 'Someone Like You' resonates with soul-stirring emotion. ",at the front row of adeles concert each note of someone like you resonates with soulstirring emotion,Neutral,Instagram, USA , AdeleConcertGoer ,"['emotion', 'adeleconcert']",80.0,40.0,160.0,2022-09-15 20:00:00,2022,9,15,20
"Dancing under the stars at Beyoncé's live show, feeling the power of 'Single Ladies' in every move. ",dancing under the stars at beyoncés live show feeling the power of single ladies in every move,Positive,Twitter, USA , BeyonceDancer ,"['energy', 'beyonceconcert']",70.0,35.0,140.0,2019-07-28 21:30:00,2019,7,28,21
"In the crowd of a Taylor Swift concert, the lyrics of 'Love Story' create an enchanting fairy tale. ",in the crowd of a taylor swift concert the lyrics of love story create an enchanting fairy tale,Positive,Facebook, USA , SwiftieDreamer ,"['enchantment', 'taylorswift']",60.0,30.0,120.0,2021-05-10 19:45:00,2021,5,10,19
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ",rocking out to the guitar solos at a queen tribute concert a journey back in time with freddies spirit,Positive,Instagram, UK , QueenTributeFan ,"['nostalgia', 'queentribute']",45.0,22.0,89.0,2018-12-02 22:15:00,2018,12,2,22
"Swaying to Ed Sheeran's acoustic melodies, a serene evening filled with 'Perfect' moments. ",swaying to ed sheerans acoustic melodies a serene evening filled with perfect moments,Neutral,Twitter, UK , SheeranMelodyLover ,"['serenity', 'edsheeranconcert']",35.0,18.0,71.0,2020-08-18 19:00:00,2020,8,18,19
"Immersed in the pulsating beats of a Bruno Mars concert, where 'Uptown Funk' becomes a city of joy. ",immersed in the pulsating beats of a bruno mars concert where uptown funk becomes a city of joy,Neutral,Facebook, USA , MarsJoyExplorer ,"['joy', 'brunomars']",55.0,28.0,111.0,2017-03-28 20:30:00,2017,3,28,20
"At a Michael Jackson tribute show, moonwalking through the hits, a celebration of the King of Pop. ",at a michael jackson tribute show moonwalking through the hits a celebration of the king of pop,Positive,Instagram, USA , MJTributeDancer ,"['celebration', 'mjtribute']",50.0,25.0,100.0,2022-01-15 21:15:00,2022,1,15,21
"Swinging to the rhythms of a Frank Sinatra tribute, feeling the timeless charm of 'Fly Me to the Moon'. ",swinging to the rhythms of a frank sinatra tribute feeling the timeless charm of fly me to the moon,Positive,Twitter, USA , SinatraCharmListener ,"['charm', 'sinatratribute']",45.0,22.0,89.0,2019-06-10 18:45:00,2019,6,10,18
"In the mosh pit of a Metallica concert, the thunderous chords create a symphony of headbanging ecstasy. ",in the mosh pit of a metallica concert the thunderous chords create a symphony of headbanging ecstasy,Positive,Facebook, USA , MetallicaMoshWarrior ,"['ecstasy', 'metallicaconcert']",70.0,35.0,140.0,2023-03-20 22:30:00,2023,3,20,22
"Experiencing the magic of a Coldplay concert, where 'Fix You' becomes a beacon of hope in the night. ",experiencing the magic of a coldplay concert where fix you becomes a beacon of hope in the night,Neutral,Instagram, UK , ColdplayHopeSeeker ,"['hope', 'coldplaymagic']",60.0,30.0,120.0,2016-11-28 19:00:00,2016,11,28,19
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",at a justin bieber concert the infectious beats of baby create a dance floor of unbridled enthusiasm,Neutral,Instagram, Canada , BieberDanceEnthusiast ,"['enthusiasm', 'justinbieber']",80.0,40.0,160.0,2018-08-05 20:00:00,2018,8,5,20
"In the spotlight at a Lady Gaga show, each costume change is a metamorphosis of creativity and artistry. ",in the spotlight at a lady gaga show each costume change is a metamorphosis of creativity and artistry,Neutral,Twitter, USA , GagaArtisticChameleon ,"['creativity', 'ladygaga']",70.0,35.0,140.0,2021-04-15 21:30:00,2021,4,15,21
